,title,id,genres,cast,keywords,plot,word_soup
1297,Grudge Match,64807,['comedy'],"['robertdeniro', 'sylvesterstallone', 'alanarkin']","['fathersonrelationship', 'sport', 'rivalry']",A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match.,fathersonrelationship sport rivalry comedy robertdeniro sylvesterstallone alanarkin
1298,Chi bi,12289,"['adventure', 'drama', 'action']","['changchen', 'hujun', 'tonyleungchiu-wai']","['flamingarrow', 'chinesehistory', 'strategy']","In the early third century, the land of Wu is invaded by the warlord Cao Cao and his million soldiers. The ruler of Wu, Sun Quan, calls on the rival warlord Liu Bei for help, but their two armies are still badly outnumbered. However, the Wu strategist Zhou Yu sees that Cao Cao's army is unused to battling on the sea, which may just give them a chance if they can exploit this weakness properly.",flamingarrow chinesehistory strategy adventure drama action changchen hujun tonyleungchiu-wai
1299,Sweet Home Alabama,11529,"['comedy', 'romance']","['reesewitherspoon', 'joshlucas', 'patrickdempsey']","['newyork', 'marriageproposal', 'alabama']","New York fashion designer Melanie Carmichael suddenly finds herself engaged to the city's most eligible bachelor. But Melanie's past holds many secrets, including Jake, the redneck husband she married in high school, who refuses to divorce her. Bound and determined to end their contentious relationship once and for all, Melanie sneaks back home to Alabama to confront her past.",newyork marriageproposal alabama comedy romance reesewitherspoon joshlucas patrickdempsey
1300,The Ugly Truth,20943,"['comedy', 'romance']","['katherineheigl', 'gerardbutler', 'ericwinter']","['romanticcomedy', 'romance', 'tvmorningshow']","A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help her find love. His clever ploys, however, lead to an unexpected result.",romanticcomedy romance tvmorningshow comedy romance katherineheigl gerardbutler ericwinter
1301,Sgt. Bilko,9099,"['comedy', 'family']","['stevemartin', 'danaykroyd', 'philhartman']","['gulfwar', 'u.s.army', 'basedontvseries']",The army is known for churning out lean mean fighting machines intent on protecting our great nation. Martin is the inexplicable the incorrigible the invicible sgt. Ernie bilko leader of a ragtag group of the sorriest soldiers ever to enlist in the armed forces.,gulfwar u.s.army basedontvseries comedy family stevemartin danaykroyd philhartman
1302,Spy Kids 2: The Island of Lost Dreams,9488,"['action', 'adventure', 'family']","['antoniobanderas', 'carlagugino', 'alexapenavega']","['spy', 'experiment', 'island']","Exploring the further adventures of Carmen and Juni Cortez, who have now joined the family spy business as Level 2 OSS agents. Their new mission is to save the world from a mad scientist living on a volcanic island populated by an imaginative menagerie of creatures. On this bizarre island, none of the Cortez's gadgets work and they must rely on their wits--and each other--to survive and save the day.",spy experiment island action adventure family antoniobanderas carlagugino alexapenavega
1303,Star Trek: Generations,193,"['sciencefiction', 'action', 'adventure']","['patrickstewart', 'jonathanfrakes', 'brentspiner']","['basedontvseries', 'death', 'explodingplanet']",Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,basedontvseries death explodingplanet sciencefiction action adventure patrickstewart jonathanfrakes brentspiner
1304,一代宗師,44865,"['action', 'drama', 'history']","['tonyleungchiu-wai', 'zhangziyi', 'songhye-kyo']","['martialarts', 'kungfu', 'biography']","Ip Man's peaceful life in Foshan changes after Gong Yutian seeks an heir for his family in Southern China. Ip Man then meets Gong Er who challenges him for the sake of regaining her family's honor. After the Second Sino-Japanese War, Ip Man moves to Hong Kong and struggles to provide for his family. In the mean time, Gong Er chooses the path of vengeance after her father was killed by Ma San.",martialarts kungfu biography action drama history tonyleungchiu-wai zhangziyi songhye-kyo
1305,Water for Elephants,55787,"['drama', 'romance']","['robertpattinson', 'reesewitherspoon', 'christophwaltz']","['clown', 'elephanttrainer', 'veterinary']","In this captivating Depression-era melodrama, impetuous veterinary student Jacob Jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when he's transfixed by angelic married performer Marlena.",clown elephanttrainer veterinary drama romance robertpattinson reesewitherspoon christophwaltz
1306,Dragon Nest: Warriors' Dawn,257932,"['adventure', 'family', 'fantasy']","['carrie-annemoss', 'lucasgrabeel', 'blytheauffarth']",[],"The land of Altera has observed an uneasy peace for years among Humans, Elves and Evil beasts who are loyal to the legendary Black Dragon. But the Black Dragon begins to stir from its hibernation, sending the Beasts marching across Altera. With a beast conquest perilously close, a small group of Humans and Elves unite to try to find a secret hidden road to the Black Dragon's cave and destroy it. But the fate of all of them may be in the hands of the young warrior Lambert, who must summon the confidence and skill to face the Black Dragon himself just when all may be lost.", adventure family fantasy carrie-annemoss lucasgrabeel blytheauffarth
1307,The Hurricane,10400,['drama'],"['denzelwashington', 'vicellousreonshannon', 'deborahkaraunger']","['prison', 'boxer', 'boxingmatch']","The story of Rubin ""Hurricane"" Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",prison boxer boxingmatch drama denzelwashington vicellousreonshannon deborahkaraunger
1308,Enough,1957,"['drama', 'thriller']","['jenniferlopez', 'billycampbell', 'juliettelewis']","['waitress', 'wifehusbandrelationship', 'violenthusband']","Working-class waitress Slim thought she was entering a life of domestic bliss when she married Mitch, the man of her dreams. After the arrival of their first child, her picture perfect life is shattered when she discovers Mitch's hidden possessive dark side, a controlling and abusive alter ego that can turn trust, love and tranquility into terror. Terrified for her child's safety, Slim flees with her daughter. Relentless in his pursuit and enlisting the aid of lethal henchmen, Mitch continually stalks the prey that was once his family.",waitress wifehusbandrelationship violenthusband drama thriller jenniferlopez billycampbell juliettelewis
1309,Heartbreakers,10833,"['crime', 'comedy', 'romance']","['sigourneyweaver', 'jenniferlovehewitt', 'genehackman']",['consandscams'],"Max and Page are a brilliant mother/daughter con team who have their grift down to a fine science. Max targets wealthy, willing men and marries them. Page then seduces them, and Max catches her husband in the act. Then it's off to palimony city and the next easy mark.",consandscams crime comedy romance sigourneyweaver jenniferlovehewitt genehackman
1310,Paul Blart: Mall Cop 2,256961,"['action', 'comedy', 'family']","['kevinjames', 'rainirodriguez', 'eduardoverástegui']","['shoppingmall', 'lasvegas', 'securityguard']","Security guard Paul Blart is headed to Las Vegas to attend a Security Guard Expo with his teenage daughter Maya before she departs for college. While at the convention, he inadvertently discovers a heist - and it's up to Blart to apprehend the criminals.",shoppingmall lasvegas securityguard action comedy family kevinjames rainirodriguez eduardoverástegui
1311,Angel Eyes,5852,"['drama', 'romance', 'thriller']","['jenniferlopez', 'jimcaviezel', 'jeremysisto']","['carcrash', 'policeofficer']","A story about a seemingly unlikely couple who cross paths under life-threatening circumstances as though they are destined not only to meet but to save each other's lives. Not once, but twice.",carcrash policeofficer drama romance thriller jenniferlopez jimcaviezel jeremysisto
1312,Joe Somebody,12312,['comedy'],"['timallen', 'juliebowen', 'kellylynch']","['profession', 'karate', 'daughter']","When underappreciated video specialist Joe Scheffer is brutally humiliated by the office bully Mark McKinney in front of his daughter, Joe begins a quest for personal redemption. He proceeds by enduring a personal make-over and takes martial arts lessons from a B-action star. As news spreads of his rematch with Mark, Joe suddenly finds himself the center of attention, ascending the corporate ladder and growing in popularity. He's determined to show everyone in his life that he is not a nobody, but a force to be reckoned with.",profession karate daughter comedy timallen juliebowen kellylynch
1313,The Ninth Gate,622,"['horror', 'mystery', 'thriller']","['johnnydepp', 'franklangella', 'lenaolin']","['newyork', 'obsession', 'passionforcollection']","An all-expenses-paid international search for a rare copy of the book, 'The Nine Gates of the Shadow Kingdom' brings an unscrupulous book dealer deep into a world of murder, double-dealing and satanic worship.",newyork obsession passionforcollection horror mystery thriller johnnydepp franklangella lenaolin
1314,Extreme Measures,11306,"['drama', 'thriller']","['hughgrant', 'genehackman', 'sarahjessicaparker']","['newyork', 'surgeon', 'british']","Thriller about Guy Luthan (Hugh Grant), a British doctor working at a hospital in New York who starts making unwanted enquiries when the body of a man who died in his emergency room disappears. The trail leads Luthan to the door of the eminent surgeon Dr Lawrence Myrick (Gene Hackman), but Luthan soon finds himself under in danger from people who want the hospital's secret to remain undiscovered.",newyork surgeon british drama thriller hughgrant genehackman sarahjessicaparker
1315,Rock Star,12508,"['music', 'drama', 'comedy']","['markwahlberg', 'jenniferaniston', 'jasonflemyng']","['rockstar', 'success', 'discontentednessanddispleasedness']","Rock Star tells the story of Chris Cole and a rock band called Steel Dragon. Cole is a photocopier technician by day, and the lead singer of a Steel Dragon tribute band called ""Blood Pollution"" by night.Internal struggles between the Steel Dragon band members culminate with the firing of the lead singer, Bobby Beers and the starting of recruitment sessions to find a new vocalist. Loosely inspired by the true story of the heavy metal band Judas Priest.",rockstar success discontentednessanddispleasedness music drama comedy markwahlberg jenniferaniston jasonflemyng
1316,Precious,25793,['drama'],"['gaboureysidibe', ""mo'nique"", 'paulapatton']","['aids', 'illiteracy', 'song']","Set in Harlem in 1987, Claireece ""Precious"" Jones is a 16-year-old African American girl born into a life no one would want. She's pregnant for the second time by her absent father; at home, she must wait hand and foot on her mother, an angry woman who abuses her emotionally and physically. School is chaotic and Precious has reached the ninth grade with good marks and a secret--she can't read.",aids illiteracy song drama gaboureysidibe mo'nique paulapatton
1317,White Squall,10534,"['action', 'drama']","['jeffbridges', 'carolinegoodall', 'johnsavage']","['sailingtrip', 'diary', 'sailing']",Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,sailingtrip diary sailing action drama jeffbridges carolinegoodall johnsavage
1318,The Thing,1091,"['horror', 'mystery', 'sciencefiction']","['kurtrussell', 'keithdavid', 'wilfordbrimley']","['ice', 'spacemarine', 'paranoia']",Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people that it kills.,ice spacemarine paranoia horror mystery sciencefiction kurtrussell keithdavid wilfordbrimley
1319,Riddick,87421,"['sciencefiction', 'action', 'thriller']","['vindiesel', 'karlurban', 'kateesackhoff']","['dystopia', 'revenge', 'alien']","Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from throughout the galaxy descend on Riddick only to find themselves pawns in his greater scheme for revenge. With his enemies right where he wants them, Riddick unleashes a vicious attack of vengeance before returning to his home planet of Furya to save it from destruction.",dystopia revenge alien sciencefiction action thriller vindiesel karlurban kateesackhoff
1320,Switchback,10871,"['action', 'adventure', 'mystery']","['dennisquaid', 'dannyglover', 'r.leeermey']","['lossofson', 'serialkiller', 'train']",FBI agent Dennis Quaid tries to catch a serial killer who kidnapped his son.,lossofson serialkiller train action adventure mystery dennisquaid dannyglover r.leeermey
1321,Texas Rangers,13503,"['action', 'western']","['jamesvanderbeek', 'rachaelleighcook', 'ashtonkutcher']","['underwear', 'tiger', 'racialsegregation']","Ten years after the Civil War has ended, the Governor of Texas asks Leander McNelly (McDermott) to form a company of Rangers to help uphold the law along the Mexican border. With a few veterans of the war (Patrick, Travis), most of the recruits are young men (Van Der Beek, Kutcher, Raymond) who have little or no experience with guns or policing crime.",underwear tiger racialsegregation action western jamesvanderbeek rachaelleighcook ashtonkutcher
1322,City of Ember,13600,"['adventure', 'family', 'fantasy']","['saoirseronan', 'harrytreadaway', 'marykayplace']","['undergroundworld', 'mayor', 'adventure']","For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker. Now, two teenagers, in a race against time, must search Ember for clues that will unlock the ancient mystery of the city's existence, before the the lights go out forever.",undergroundworld mayor adventure adventure family fantasy saoirseronan harrytreadaway marykayplace
1323,The Master,68722,['drama'],"['joaquinphoenix', 'philipseymourhoffman', 'amyadams']","['posttraumaticstressdisorder', 'sexualobsession', 'postwarperiod']","Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion"" he forms after World War II.",posttraumaticstressdisorder sexualobsession postwarperiod drama joaquinphoenix philipseymourhoffman amyadams
1324,Virgin Territory,14324,"['adventure', 'action', 'comedy']","['ryancartwright', 'haydenchristensen', 'mischabarton']",[],"The film is set in Tuscany during the Black Death. As in the Decameron, ten young Florentines take refuge from the plague. But instead of telling stories, they have lusty adventures, bawdy exchanges, romance and swordplay. There are randy nuns, Saracen pirates, and a sexy cow.", adventure action comedy ryancartwright haydenchristensen mischabarton
1325,The Express,14325,['drama'],"['robbrown', 'dennisquaid', 'darrinhenson']","['americanfootball', 'college', 'biography']","Based on the incredible true story, The Express follows the inspirational life of college football hero Ernie Davis, the first African-American to win the Heisman Trophy.",americanfootball college biography drama robbrown dennisquaid darrinhenson
1326,The 5th Wave,299687,"['adventure', 'sciencefiction']","['chloëgracemoretz', 'nickrobinson', 'alexroe']","['basedonnovel', 'dystopia', 'alien']",16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,basedonnovel dystopia alien adventure sciencefiction chloëgracemoretz nickrobinson alexroe
1327,Creed,312221,['drama'],"['michaelb.jordan', 'sylvesterstallone', 'grahammctavish']","['underdog', 'sport', 'spinoff']","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",underdog sport spinoff drama michaelb.jordan sylvesterstallone grahammctavish
1328,The Town,23168,"['crime', 'drama', 'thriller']","['benaffleck', 'rebeccahall', 'jeremyrenner']","['basedonnovel', 'moneylaundering', 'ambulance']","Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",basedonnovel moneylaundering ambulance crime drama thriller benaffleck rebeccahall jeremyrenner
1329,What to Expect When You're Expecting,76494,"['romance', 'comedy', 'drama']","['camerondiaz', 'jenniferlopez', 'elizabethbanks']","['basedonnovel', 'adoption', 'pregnant']","Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while her husband tries not to be outdone by his father, who's expecting twins with his young trophy wife; a photographer's husband isn't sure about his wife's adoption plans; a one-time hook-up results in a surprise pregnancy for rival food-truck owners.",basedonnovel adoption pregnant romance comedy drama camerondiaz jenniferlopez elizabethbanks
1330,Burn After Reading,4944,"['comedy', 'drama']","['georgeclooney', 'francesmcdormand', 'bradpitt']","['blackmail', 'paranoia', 'fitness-training']","When a disc containing memoirs of a former CIA analyst falls into the hands of Linda Litzke and Chad Feldheimer, the two gym employees see a chance to make enough money for her to have life-changing cosmetic surgery. Predictably, events whirl out of control for the duo doofuses and those in their orbit.",blackmail paranoia fitness-training comedy drama georgeclooney francesmcdormand bradpitt
1331,Nim's Island,10488,"['adventure', 'comedy', 'family']","['abigailbreslin', 'jodiefoster', 'gerardbutler']","['fictionalplace', 'exoticisland', 'shipwreck']",A young girl inhabits an isolated island with her scientist father and communicates with a reclusive author of the novel she's reading.,fictionalplace exoticisland shipwreck adventure comedy family abigailbreslin jodiefoster gerardbutler
1332,Rush,96721,"['drama', 'action']","['danielbrühl', 'chrishemsworth', 'oliviawilde']","['worldchampion', 'sport', 'racingcar']",A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,worldchampion sport racingcar drama action danielbrühl chrishemsworth oliviawilde
1333,Magnolia,334,['drama'],"['juliannemoore', 'williamh.macy', 'johnc.reilly']","['farewell', 'regret', 'parentskidsrelationship']","An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley.",farewell regret parentskidsrelationship drama juliannemoore williamh.macy johnc.reilly
1334,Cop Out,23742,"['action', 'comedy', 'crime']","['brucewillis', 'tracymorgan', 'juancarloshernández']","['newyork', 'moneylaundering', 'daughter']","Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites – especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time, and without any backup – except for each other.",newyork moneylaundering daughter action comedy crime brucewillis tracymorgan juancarloshernández
1335,How to Be Single,259694,"['comedy', 'romance']","['dakotajohnson', 'rebelwilson', 'alisonbrie']","['newyork', 'basedonnovel', 'one-nightstand']","New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",newyork basedonnovel one-nightstand comedy romance dakotajohnson rebelwilson alisonbrie
1336,Dolphin Tale,62837,"['drama', 'family']","['morganfreeman', 'ashleyjudd', 'harryconnickjr.']","['dolphin', 'boy', 'trap']",A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.,dolphin boy trap drama family morganfreeman ashleyjudd harryconnickjr.
1337,Twilight,8966,"['adventure', 'fantasy', 'drama']","['kristenstewart', 'robertpattinson', 'billyburke']","['soulmates', 'vampire', 'forbiddenlove']","When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",soulmates vampire forbiddenlove adventure fantasy drama kristenstewart robertpattinson billyburke
1338,John Q,8470,"['drama', 'thriller', 'crime']","['denzelwashington', 'robertduvall', 'anneheche']","['fathersonrelationship', 'chicago', 'heartattack']","John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list.",fathersonrelationship chicago heartattack drama thriller crime denzelwashington robertduvall anneheche
1339,Blue Streak,11001,"['action', 'comedy', 'crime']","['martinlawrence', 'lukewilson', 'davechappelle']","['robbery', 'diamant', 'policeoperation']","Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as a LAPD detective",robbery diamant policeoperation action comedy crime martinlawrence lukewilson davechappelle
1340,We're the Millers,138832,"['comedy', 'crime']","['jasonsudeikis', 'jenniferaniston', 'willpoulter']","['mexico', 'police', 'gang']",A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,mexico police gang comedy crime jasonsudeikis jenniferaniston willpoulter
1341,Obitaemyy Ostrov,16911,"['action', 'fantasy', 'sciencefiction']","['vasilystepanov', 'pyotrfyodorov', 'юлияснигирь']","['basedonnovel', 'brothersisterrelationship', 'swordfight']","On the threshold of 22nd century, furrowing the space, protagonist from the Free Search Group makes emergency landing on an unknown planet where he must stay. People who are living on this planet have remained at the stone level of the 20th century, with its social problems, miserable ecology and shaky world..",basedonnovel brothersisterrelationship swordfight action fantasy sciencefiction vasilystepanov pyotrfyodorov юлияснигирь
1342,Breakdown,2163,"['drama', 'action', 'thriller']","['kurtrussell', 'j.t.walsh', 'kathleenquinlan']","['california', 'bank', 'ransom']","When his SUV breaks down on a remote Southwestern road, Jeff Taylor lets his wife, Amy, hitch a ride with a trucker to get help. When she doesn't return, Jeff fixes his SUV and tracks down the trucker -- who tells the police he's never seen Amy. Johnathan Mostow's tense thriller then follows Jeff's desperate search for his wife, which eventually uncovers a small town's murderous secret.",california bank ransom drama action thriller kurtrussell j.t.walsh kathleenquinlan
1343,Never Say Never Again,36670,"['adventure', 'action', 'thriller']","['seanconnery', 'kimbasinger', 'klausmariabrandauer']","['videogame', 'spy', 'bahamas']","James Bond returns as the secret agent 007 one more time to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally in Largo's girlfriend, the willowy Domino, who falls for Bond and seeks revenge. This is the last time for Sean Connery as Her Majesty's Secret Agent 007.",videogame spy bahamas adventure action thriller seanconnery kimbasinger klausmariabrandauer
1344,Hot Tub Time Machine,23048,"['sciencefiction', 'comedy', 'adventure']","['johncusack', 'lizzycaplan', 'robcorddry']","['femalenudity', 'one-nightstand', 'timetravel']","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",femalenudity one-nightstand timetravel sciencefiction comedy adventure johncusack lizzycaplan robcorddry
1345,Dolphin Tale 2,227735,"['family', 'drama']","['morganfreeman', 'ashleyjudd', 'nathangamble']","['dolphin', 'aquarium', 'swimming']",The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital.,dolphin aquarium swimming family drama morganfreeman ashleyjudd nathangamble
1346,Reindeer Games,2155,['thriller'],"['benaffleck', 'garysinise', 'charlizetheron']","['prison', 'robbery', 'rolereversal']","After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",prison robbery rolereversal thriller benaffleck garysinise charlizetheron
1347,A Man Apart,8409,"['action', 'drama']","['vindiesel', 'larenztate', 'timothyolyphant']","['repayment', 'arbitrarylaw', 'cop']","When Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge.",repayment arbitrarylaw cop action drama vindiesel larenztate timothyolyphant
1348,Aloha,222936,"['drama', 'comedy', 'romance']","['bradleycooper', 'emmastone', 'rachelmcadams']","['lovetriangle', 'hawaii', 'satellite']",A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,lovetriangle hawaii satellite drama comedy romance bradleycooper emmastone rachelmcadams
1349,Ghosts of Mississippi,31908,"['history', 'drama']","['alecbaldwin', 'jameswoods', 'virginiamadsen']","['assassin', 'widow', 'trial']","Ghosts of Mississippi is a drama covering the final trial of the assassin, Bryon De La Beckwith, of the 60s civil rights leader Medgar Evers. It begins with the murder and the events surrounding the two initial trials which both ended in a hung jury. The movie then covers District Attorney, Bobby DeLaughters transformation and alliance with Myrlie Evers, wife of Medgar Evers, of the, as he becomes more involved with bringing Beckwith to trial for the third time 30 years later. Some of the characters are played by the actual participants in this story.",assassin widow trial history drama alecbaldwin jameswoods virginiamadsen
1350,Snow Falling on Cedars,10219,"['drama', 'romance']","['ethanhawke', 'youkikudoh', 'reevecarney']","['journalist', 'japanese', 'wife']","A Japanese-American fisherman may have killed his neighbor Carl at sea. In the 1950s, race figures in the trial. So does reporter Ishmael.",journalist japanese wife drama romance ethanhawke youkikudoh reevecarney
1351,The Rite,48171,"['drama', 'thriller', 'horror']","['anthonyhopkins', ""colino'donoghue"", 'alicebraga']","['vatican', 'violinist', 'hospital']","Seminary student Michael Kovak (Colin O'Donoghue) reluctantly attends exorcism school at the Vatican. While he’s in Rome, Michael meets an unorthodox priest, Father Lucas (Anthony Hopkins), who introduces him to the darker side of his faith, uncovering the devil’s reach even to one of the holiest places on Earth.",vatican violinist hospital drama thriller horror anthonyhopkins colino'donoghue alicebraga
1352,Gattaca,782,"['thriller', 'sciencefiction', 'mystery']","['ethanhawke', 'judelaw', 'gorevidal']","['paraplegic', 'suicideattempt', 'cheating']","Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program.",paraplegic suicideattempt cheating thriller sciencefiction mystery ethanhawke judelaw gorevidal
1353,Isn't She Great,75531,"['drama', 'comedy']","['bettemidler', 'nathanlane', 'stockardchanning']","['autism', 'basedonarticle']","An unsuccessful over-the-top actress becomes a successful over-the-top authoress in this biography of Jacqueline Susann, the famed writer of ""The Valley Of The Dolls"" and other trashy novels. Facing a failing career, Susann meets a successful promoter who becomes her husband. After several failures to place her in commercials and a TV quiz show, he hits upon the idea for her to become a writer. In the pre-60's, her books were looked upon as trash and non-printable. But then the sexual revolution hit and an audience was born for her books. The story shows the hidden behind the scenes story of Susan's life, including her autistic son and her continuing bout with cancer that she hid up to her death",autism basedonarticle drama comedy bettemidler nathanlane stockardchanning
1354,Space Chimps,11802,"['animation', 'family']","['andysamberg', 'cherylhines', 'jeffdaniels']","['spacemarine', 'chimp', 'space']","Circus monkey Ham III works in a circus where he's regularly shot from a canon but he still lives in the shadow of his father's legacy. A natural born rebel against authority, Ham III is initially reluctant to go on a dangerous space mission to rescue a lost space probe, but away he goes, for lots of RIGHT STUFF-style astro-training alongside two highly prepared chimps, Luna and Titan.",spacemarine chimp space animation family andysamberg cherylhines jeffdaniels
1355,Head of State,9776,['comedy'],"['chrisrock', 'berniemac', 'dylanbaker']","['usa', 'blackpeople', 'usapresident']","When a presidential candidate dies unexpectedly in the middle of the campaign, the Democratic party unexpectedly picks a Washington, D.C. alderman, Mays Gilliam (Rock) as his replacement .",usa blackpeople usapresident comedy chrisrock berniemac dylanbaker
1356,The Hangover,18785,['comedy'],"['bradleycooper', 'edhelms', 'zachgalifianakis']","['underwear', 'tiger', 'stagnight']","When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",underwear tiger stagnight comedy bradleycooper edhelms zachgalifianakis
1357,葉問3,365222,"['action', 'drama', 'history']","['donnieyen', 'lynnhung', 'zhangjin']",['biography'],"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.",biography action drama history donnieyen lynnhung zhangjin
1358,Austin Powers: The Spy Who Shagged Me,817,"['adventure', 'comedy', 'crime']","['mikemyers', 'heathergraham', 'michaelyork']","['savingtheworld', 'moon', 'submarine']","When diabolical genius, Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’, Austin must return to the swingin' '60s himself – with the help of American agent, Felicity Shagwell – to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions and saves the world in his own unbelievably groovy way.",savingtheworld moon submarine adventure comedy crime mikemyers heathergraham michaelyork
1359,Batman,268,"['fantasy', 'action']","['jacknicholson', 'michaelkeaton', 'kimbasinger']","['doublelife', 'dccomics', 'dualidentity']","The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.",doublelife dccomics dualidentity fantasy action jacknicholson michaelkeaton kimbasinger
1360,There Be Dragons,45054,['drama'],"['charliecox', 'dougrayscott', 'wesbentley']","['spanishcivilwar', 'priest', 'independentfilm']","Arising out of the horror of the Spanish Civil War, a candidate for canonization is investigated by a journalist who discovers his own estranged father had a deep, dark and devastating connection to the saint's life.While researching the life of Josemaria Escriva, the controversial founder of Opus Dei, the young journalist Robert uncovers hidden stories of his estranged father Manolo, and is taken on a journey through the dark, terrible secrets of his family’s past.",spanishcivilwar priest independentfilm drama charliecox dougrayscott wesbentley
1361,Lethal Weapon 3,943,"['adventure', 'action', 'comedy']","['melgibson', 'dannyglover', 'joepesci']","['rookiecop', 'dogbiscuit', 'shootingpractice']","Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",rookiecop dogbiscuit shootingpractice adventure action comedy melgibson dannyglover joepesci
1362,The Blind Side,22881,['drama'],"['sandrabullock', 'quintonaaron', 'kathybates']","['americanfootball', 'adoption', 'education']","Oversized African-American, Michael Oher, the teen from across the tracks and a broken home, has nowhere to sleep at age 16. Taken in by an affluent Memphis couple, Michael embarks on a remarkable rise to play for the NFL.",americanfootball adoption education drama sandrabullock quintonaaron kathybates
